code,area,2019,2016,growth rate 2016,2013,growth rate 2013,,,,,2017
E09000001,City of London,11830.05864,15317.51941,-22.76779077,16474.8954,-7.025088548,,,,,15547.42618
E09000002,Barking and Dagenham,281.81451,188.89858,49.18826282,200.66683,-5.864571638,,,,,199.32514
E09000003,Barnet,159.14356,209.79945,-24.14491077,227.588,-7.816119479,,,,,154.71773
E09000004,Bexley,132.9107,159.33976,-16.58660713,147.87462,7.753284505,,,,,77.19686
E09000005,Brent,242.59259,255.89939,-5.200012395,308.89102,-17.15544531,,,,,276.51002
E09000006,Bromley,300.90029,293.67767,2.459369825,235.92399,24.47978266,,,,,303.59057
E09000007,Camden,918.41987,950.52015,-3.377127776,1075.22669,-11.59816262,,,,,986.73434
E09000008,Croydon,222.38887,193.56324,14.89209935,252.17839,-23.24352614,,,,,176.69819
E09000009,Ealing,348.15071,329.25792,5.737991056,321.17351,2.517147196,,,,,291.76976
E09000010,Enfield,143.80127,159.92999,-10.08486276,152.87467,4.615100723,,,,,153.28895
E09000011,Greenwich,295.19834,253.78352,16.31895562,291.65783,-12.98587115,,,,,342.93917
E09000012,Hackney,771.91235,928.61373,-16.87476449,963.55958,-3.626745115,,,,,862.54073
E09000013,Hammersmith and Fulham,847.99317,868.3358,-2.34271465,929.00915,-6.530974426,,,,,945.36552
E09000014,Haringey,469.01696,441.72942,6.177433235,542.92939,-18.63961905,,,,,479.30862
E09000015,Harrow,131.39035,84.42143,55.63625255,189.01106,-55.33519044,,,,,128.57602
E09000016,Havering,127.14215,178.0183,-28.57916855,123.92597,43.64890588,,,,,136.69792
E09000017,Hillingdon,195.52253,271.10037,-27.87817663,153.41381,76.7118423,,,,,125.68507
E09000018,Hounslow,453.0003,435.20113,4.089872193,415.38526,4.770479819,,,,,419.91825
E09000019,Islington,1064.06233,1039.22874,2.389617323,1219.47261,-14.78047711,,,,,1038.29787
E09000020,Kensington and Chelsea,1056.8184,1059.17333,-0.222336603,1233.98074,-14.16613763,,,,,1014.50485
E09000021,Kingston upon Thames,399.98423,403.16399,-0.788701392,449.65916,-10.34009182,,,,,446.71237
E09000022,Lambeth,975.3584,899.6371,8.416871647,1104.2445,-18.52917538,,,,,1021.45361
E09000023,Lewisham,516.60661,526.72203,-1.920447489,576.56021,-8.644054712,,,,,454.68575
E09000024,Merton,401.84364,385.31135,4.290631459,442.86326,-12.99541308,,,,,363.98579
E09000025,Newham,286.01041,231.6865,23.44716244,279.67457,-17.15853894,,,,,261.49726
E09000026,Redbridge,203.13084,153.71814,32.14500254,187.32308,-17.93956196,,,,,212.07151
E09000027,Richmond upon Thames,727.20295,668.89291,8.717395435,731.58624,-8.569506447,,,,,705.23303
E09000028,Southwark,1144.81071,903.50964,26.70708306,881.1783,2.534258958,,,,,1031.08531
E09000029,Sutton,266.53873,153.29839,73.86922981,316.46539,-51.55919262,,,,,216.48962
E09000030,Tower Hamlets,902.24638,925.03297,-2.463327334,930.77797,-0.61722561,,,,,925.43284
E09000031,Waltham Forest,454.90156,427.77957,6.340178892,428.89875,-0.260942705,,,,,344.82133
E09000032,Wandsworth,776.51762,813.04414,-4.492562975,933.92933,-12.9437192,,,,,856.90333
E09000033,Westminster,1484.78668,1445.7987,2.696639581,1785.39153,-19.02063633,,,,,1670.77893
